ref,query,dim,k,problem size,simt time(ms),tc time(ms),speedup
1024,32,64,16,33554432,1.39573,0.80195,1.7404202256998564
1024,32,128,16,67108864,1.35874,1.36103,0.9983174507542083
1024,32,256,16,134217728,1.39725,0.86464,1.6159904700222059
1024,32,512,16,268435456,1.57242,1.49889,1.0490563016632306
1024,32,1024,16,536870912,1.64468,1.7233,0.9543782278187198
1024,32,2048,16,1073741824,2.05631,2.04591,1.005083312560181
1024,64,2,16,2097152,0.80003,1.34563,0.5945393607455244
1024,64,4,16,4194304,0.78936,1.34358,0.5875050238913946
1024,64,8,16,8388608,0.7839,1.32436,0.5919085445045155
1024,64,16,16,16777216,1.37406,1.3083,1.0502637009860125
1024,64,32,16,33554432,1.31076,0.79215,1.654686612384018
1024,64,64,16,67108864,1.38202,1.46543,0.9430815528547934
1024,64,128,16,134217728,1.39989,0.85274,1.6416375448554072
1024,64,256,16,268435456,1.48485,0.9004,1.6491003998223013
1024,64,512,16,536870912,1.58667,1.55169,1.0225431626162442
1024,64,1024,16,1073741824,2.32124,1.73611,1.3370350957024613
1024,64,2048,16,2147483648,2.03405,2.11183,0.9631693838992723
1024,128,2,16,4194304,1.34105,0.79869,1.6790619639659945
1024,128,4,16,8388608,1.33664,1.30552,1.0238372449292237
1024,128,8,16,16777216,1.33386,1.36084,0.980174010170189
1024,128,16,16,33554432,1.42092,1.31128,1.0836129583307912
1024,128,32,16,67108864,1.26642,0.76756,1.6499296471937048
1024,128,64,16,134217728,1.32071,1.30963,1.0084604048471706
1024,128,128,16,268435456,0.79209,1.42461,0.5560048013140438
1024,128,256,16,536870912,0.90028,1.39335,0.6461262425090608
1024,128,512,16,1073741824,0.97835,1.49703,0.6535273174218286
1024,128,1024,16,2147483648,1.72732,1.72578,1.00089235012574
1024,128,2048,16,4294967296,2.67578,2.13494,1.253327962378334
1024,256,2,16,8388608,1.38217,0.83885,1.6476962508195743
1024,256,4,16,16777216,1.34298,0.82218,1.6334379332992777
1024,256,8,16,33554432,1.35048,1.38958,0.9718620014680694
1024,256,16,16,67108864,1.34065,0.81393,1.6471318172324398
1024,256,32,16,134217728,1.30513,0.79748,1.6365676882178863
1024,256,64,16,268435456,1.33746,1.37864,0.9701299831718215
1024,256,128,16,536870912,0.8274,1.38666,0.596685560988274
1024,256,256,16,1073741824,0.93299,1.46478,0.6369488933491719
1024,256,512,16,2147483648,1.03917,1.61727,0.6425457715780296
1024,256,1024,16,4294967296,1.85178,1.87883,0.9856027421320716
1024,256,2048,16,8589934592,2.28255,2.2418,1.018177357480596
1024,512,2,16,16777216,1.47475,1.45211,1.0155911053570321
1024,512,4,16,33554432,1.46531,0.90838,1.6131024461128602
1024,512,8,16,67108864,1.41984,1.43883,0.9868017764433602
1024,512,16,16,134217728,1.39479,1.4542,0.9591459221565122
1024,512,32,16,268435456,0.86492,1.39475,0.6201254705144291
1024,512,64,16,536870912,0.88455,1.40364,0.6301829528939044
1024,512,128,16,1073741824,1.47416,1.45057,1.0162625726438572
1024,512,256,16,2147483648,1.50255,1.53415,0.9794022748753383
1024,512,512,16,4294967296,1.66071,1.73962,0.9546395189754084
1024,512,1024,16,8589934592,1.96048,2.55191,0.768240259256792
1024,512,2048,16,17179869184,3.04491,2.48969,1.2230076836875272
2048,16,2,16,1048576,1.38786,0.8428,1.6467252017085905
2048,16,4,16,2097152,1.45352,1.4444,1.0063140404320132
2048,16,8,16,4194304,0.85927,1.43315,0.5995673865261836
2048,16,16,16,8388608,1.42294,1.38206,1.0295790341953317
2048,16,32,16,16777216,1.45682,1.42187,1.0245803062164613
2048,16,64,16,33554432,1.40533,0.89019,1.5786854491737718
2048,16,128,16,67108864,1.53579,0.98055,1.5662536331650603
2048,16,256,16,134217728,1.5967,1.56224,1.022058070462925
2048,16,512,16,268435456,1.78458,1.75057,1.019427957750904
2048,16,1024,16,536870912,2.03356,2.09967,0.9685140998347359
2048,16,2048,16,1073741824,3.33456,3.33233,1.0006692014296303
2048,32,2,16,2097152,1.64392,1.64277,1.0007000371324044
2048,32,4,16,4194304,1.63319,1.62721,1.0036750019972835
2048,32,8,16,8388608,1.60549,1.59321,1.0077077095925835
2048,32,16,16,16777216,1.5852,1.55226,1.0212206717946735
2048,32,32,16,33554432,1.59926,1.04541,1.5297921389693996
2048,32,64,16,67108864,1.5514,1.56914,0.9886944440903934
2048,32,128,16,134217728,1.71234,1.70474,1.0044581578422516
2048,32,256,16,268435456,1.79816,1.77863,1.010980361289307
2048,32,512,16,536870912,1.88259,1.94568,0.9675743184901936
2048,32,1024,16,1073741824,2.23712,2.27931,0.9814900123282922
2048,32,2048,16,2147483648,3.44259,3.52367,0.9769898997352192
